Date,Price,Open,High,Low,Vol.,Change %
2022-06-28,3955.30,3955.30,3955.30,3955.30,,-0.31%
2022-06-27,3967.70,3967.70,3967.70,3967.70,,1.25%
2022-06-24,3918.90,3918.90,3918.90,3918.90,,-1.90%
2022-06-23,3994.80,3994.80,3994.80,3994.80,,-2.93%
2022-06-22,4115.50,4115.50,4115.50,4115.50,,-2.86%
2022-06-21,4236.60,4236.60,4236.60,4236.60,,0.56%
2022-06-20,4213.10,4213.10,4213.10,4213.10,,0.31%
2022-06-17,4199.90,4199.90,4199.90,4199.90,,-0.91%
2022-06-16,4238.30,4238.30,4238.30,4238.30,,-1.99%
2022-06-15,4324.20,4324.20,4324.20,4324.20,,0.78%
2022-06-14,4290.60,4290.60,4290.60,4290.60,,-1.45%
2022-06-13,4353.70,4353.70,4353.70,4353.70,,-2.42%
2022-06-10,4461.60,4461.60,4461.60,4461.60,,-2.24%
2022-06-09,4563.80,4563.80,4563.80,4563.80,,-1.55%
2022-06-08,4635.50,4635.50,4635.50,4635.50,,0.52%
2022-06-07,4611.60,4611.60,4611.60,4611.60,,-0.44%
2022-06-06,4631.80,4631.80,4631.80,4631.80,,2.46%
2022-06-01,4520.50,4520.50,4520.50,4520.50,,-0.36%
2022-05-31,4537.00,4537.00,4537.00,4537.00,,-1.48%
2022-05-30,4605.30,4605.30,4605.30,4605.30,,1.15%
2022-05-27,4553.10,4553.10,4553.10,4553.10,,1.43%
2022-05-26,4488.90,4488.90,4488.90,4488.90,,-0.13%
2022-05-25,4494.70,4494.70,4494.70,4494.70,,-0.79%
2022-05-24,4530.40,4530.40,4530.40,4530.40,,-1.46%
2022-05-23,4597.40,4597.40,4597.40,4597.40,,0.83%
2022-05-20,4559.50,4559.50,4559.50,4559.50,,0.45%
2022-05-19,4539.20,4539.20,4539.20,4539.20,,2.65%
2022-05-18,4422.20,4422.20,4422.20,4422.20,,-1.38%
2022-05-17,4483.90,4483.90,4483.90,4483.90,,1.43%
2022-05-16,4420.60,4420.60,4420.60,4420.60,,0.87%
2022-05-13,4382.50,4382.50,4382.50,4382.50,,0.32%
2022-05-12,4368.50,4368.50,4368.50,4368.50,,-2.37%
2022-05-11,4474.50,4474.50,4474.50,4474.50,,0.86%
2022-05-10,4436.50,4436.50,4436.50,4436.50,,-0.34%
2022-05-09,4451.60,4451.60,4451.60,4451.60,,-3.11%
2022-05-06,4594.30,4594.30,4594.30,4594.30,,-1.60%
2022-05-05,4668.90,4668.90,4668.90,4668.90,,-0.46%
2022-05-04,4690.30,4690.30,4690.30,4690.30,,0.62%
2022-05-03,4661.60,4661.60,4661.60,4661.60,,-3.50%
2022-04-29,4830.80,4830.80,4830.80,4830.80,,0.07%
2022-04-28,4827.20,4827.20,4827.20,4827.20,,-1.58%
2022-04-27,4904.70,4904.70,4904.70,4904.70,,0.25%
2022-04-26,4892.30,4892.30,4892.30,4892.30,,0.56%
2022-04-25,4864.90,4864.90,4864.90,4864.90,,-3.87%
2022-04-22,5060.60,5060.60,5060.60,5060.60,,-1.56%
2022-04-21,5140.80,5140.80,5140.80,5140.80,,0.71%
