Date,Price,Open,High,Low,Close,LogReturns,WeeklyReturns,WeeklyVolatility ,,Change %,,,,,,,,,,Vol.
27-04-2018,"10,692.30","10,651.65","10,719.80","10,647.55","10,726.21",-0.002481,,,,0.70%,,,,,,,,,,306.67M
26-04-2018,"10,617.80","10,586.50","10,628.40","10,559.65","10,634.14",-0.008621,-0.0005,0.006194242,,0.45%,,,,,,,,,,345.54M
25-04-2018,"10,570.55","10,612.40","10,612.60","10,536.45","10,568.89",-0.006155,,,,-0.41%,,,,,,,,,,195.13M
24-04-2018,"10,614.35","10,578.10","10,636.80","10,569.00","10,607.72",0.003667,,,,0.28%,,,,,,,,,,225.97M
23-04-2018,"10,584.70","10,592.80","10,638.35","10,514.95","10,613.99",0.000591,,,,0.20%,,,,,,,,,,200.20M
20-04-2018,"10,564.05","10,560.35","10,582.35","10,527.45","10,559.29",-0.005166,,,,-0.01%,,,,,,,,,,252.23M
19-04-2018,"10,565.30","10,563.65","10,572.20","10,546.20","10,602.74",0.004106,-0.002957,0.004834108,,0.37%,,,,,,,,,,270.74M
18-04-2018,"10,526.20","10,578.90","10,594.20","10,509.70","10,556.68",-0.004353,,,,-0.21%,,,,,,,,,,211.82M
17-04-2018,"10,548.70","10,557.30","10,560.45","10,495.65","10,577.36",0.001957,,,,0.19%,,,,,,,,,,212.45M
16-04-2018,"10,528.35","10,398.30","10,540.15","10,396.35","10,446.13",-0.012484,,,,0.46%,,,,,,,,,,200.95M
13-04-2018,"10,480.60","10,495.30","10,519.90","10,451.45","10,517.34",0.006794,,,,0.21%,,,,,,,,,,219.72M
12-04-2018,"10,458.65","10,410.65","10,469.90","10,395.25","10,452.29",-0.006204,-0.014291,0.007456902,,0.40%,,,,,,,,,,246.03M
11-04-2018,"10,417.15","10,428.15","10,428.15","10,355.60","10,442.75",-0.000913,,,,0.14%,,,,,,,,,,258.08M
10-04-2018,"10,402.25","10,412.90","10,424.85","10,381.50","10,435.81",-0.000665,,,,0.22%,,,,,,,,,,259.52M
09-04-2018,"10,379.35","10,333.70","10,397.70","10,328.50","10,381.24",-0.005243,,,,0.46%,,,,,,,,,,228.51M
06-04-2018,"10,331.60","10,322.75","10,350.45","10,290.85","10,328.94",-0.00505,,,,0.06%,,,,,,,,,,206.36M
05-04-2018,"10,325.15","10,228.45","10,331.80","10,227.45","10,426.88",0.009437,-0.002434,0.005961224,,1.94%,,,,,,,,,,244.12M
04-04-2018,"10,128.40","10,274.60","10,279.85","10,111.30","10,157.47",-0.026178,,,,-1.14%,,,,,,,,,,238.18M
03-04-2018,"10,245.00","10,186.85","10,255.35","10,171.05","10,220.47",0.006183,,,,0.33%,,,,,,,,,,211.65M
02-04-2018,"10,211.80","10,151.65","10,220.10","10,127.75","10,250.12",0.002897,,,,0.97%,,,,,,,,,,232.43M
28-03-2018,"10,113.70","10,143.60","10,158.35","10,096.90","10,073.61",-0.01737,,,,-0.69%,,,,,,,,,,354.98M
27-03-2018,"10,184.15","10,188.00","10,207.90","10,139.65","10,242.00",0.016578,-0.017891,0.01763829,,0.53%,,,,,,,,,,232.71M
26-03-2018,"10,130.65","9,989.15","10,143.50","9,958.55","10,122.01",-0.011785,,,,1.33%,,,,,,,,,,270.66M
23-03-2018,"9,998.05","9,968.80","10,027.70","9,951.90","9,854.16",-0.026818,,,,-1.15%,,,,,,,,,,294.52M
22-03-2018,"10,114.75","10,167.50","10,207.85","10,105.40","10,126.83",0.027295,,,,-0.40%,,,,,,,,,,237.63M
21-03-2018,"10,155.25","10,181.95","10,227.30","10,132.95","10,213.51",0.008523,,,,0.31%,,,,,,,,,,211.06M
20-03-2018,"10,124.35","10,051.55","10,155.65","10,049.10","10,081.70",-0.012989,-0.015774,0.02118201,,0.30%,,,,,,,,,,209.33M
19-03-2018,"10,094.25","10,215.35","10,224.55","10,075.30","10,114.22",0.00322,,,,-0.99%,,,,,,,,,,216.67M
16-03-2018,"10,195.15","10,345.15","10,346.30","10,180.25","10,180.66",0.006548,,,,-1.59%,,,,,,,,,,338.70M
15-03-2018,"10,360.15","10,405.45","10,420.00","10,346.20","10,354.46",0.016928,,,,-0.49%,,,,,,,,,,179.31M
14-03-2018,"10,410.90","10,393.05","10,420.35","10,336.30","10,377.46",0.002219,,,,-0.15%,,,,,,,,,,186.99M
13-03-2018,"10,426.85","10,389.50","10,478.60","10,377.85","10,394.69",0.001659,0.030573,0.006334772,,0.05%,,,,,,,,,,274.85M
12-03-2018,"10,421.40","10,301.60","10,433.65","10,295.45","10,497.33",0.009825,,,,1.90%,,,,,,,,,,223.14M
09-03-2018,"10,226.85","10,271.30","10,296.70","10,211.90","10,255.89",-0.023269,,,,-0.15%,,,,,,,,,,192.33M
08-03-2018,"10,242.65","10,216.25","10,270.35","10,146.40","10,305.13",0.004789,,,,0.87%,,,,,,,,,,233.38M
07-03-2018,"10,154.20","10,232.95","10,243.35","10,141.55","10,137.78",-0.016373,,,,-0.93%,,,,,,,,,,257.20M
06-03-2018,"10,249.25","10,420.50","10,441.35","10,215.90","10,310.04",0.016849,-0.008177,0.017316755,,-1.06%,,,,,,,,,,229.78M
05-03-2018,"10,358.85","10,428.30","10,428.70","10,323.90","10,329.23",0.001859,,,,-0.95%,,,,,,,,,,199.98M
01-03-2018,"10,458.35","10,479.95","10,525.50","10,447.15","10,445.37",0.011181,,,,-0.33%,,,,,,,,,,181.38M
28-02-2018,"10,492.85","10,488.95","10,535.50","10,461.55","10,428.11",-0.001653,,,,-0.58%,,,,,,,,,,294.79M
27-02-2018,"10,554.30","10,615.20","10,631.65","10,537.25","10,586.54",0.015078,,,,-0.27%,,,,,,,,,,193.25M
26-02-2018,"10,582.60","10,526.55","10,592.95","10,520.20","10,618.13",0.00298,0.029445,0.006964542,,0.87%,,,,,,,,,,177.24M
